latitude,longitude,number of ships,inflection fraction
30,-73.18555185,24,0
30,-72.12489168,64,0.015625
30,-71.06423151,23,0
30,-70.00357134,13,0
30,-68.94291117,8,0
31,-143.7995699,14,0
31,-142.7343879,5,0
31,-140.6040239,7,0
31,-139.5388419,250,0
31,-138.4736599,238,0
31,-137.4084779,84,0.011904762
31,-136.3432959,172,0
31,-135.2781139,300,0.003333333
31,-134.2129319,413,0.002421308
31,-133.1477499,873,0.001145475
31,-132.0825679,1278,0.000782473
31,-131.0173859,1404,0.000712251
31,-129.9522039,1797,0
31,-128.8870219,3245,0
31,-127.8218399,1942,0
31,-126.7566579,2081,0
31,-125.6914759,3123,0.000960615
31,-124.6262939,5674,0.001586183
31,-123.5611119,4900,0.000408163
31,-122.4959299,3422,0.002337814
31,-121.4307479,1496,0
31,-120.3655659,2324,0.000430293
31,-119.3003839,4249,0.000706049
31,-118.2352019,17426,0.00166418
31,-117.1700199,20040,0.001097804
31,-116.1048379,3935,0.00025413
31,-115.0396559,1,1
31,-92.67083391,2407,0.005816369
31,-91.60565191,133777,0.0014726
31,-89.47528791,1,1
31,-88.41010591,61267,0.003329688
31,-87.34492391,743,0.00807537
31,-86.27974191,51,0
31,-82.01901392,5100,0.012745098
31,-80.95383192,75799,0.001675484
31,-79.88864992,14892,0.00020145
31,-78.82346792,4249,0.001647447
31,-77.75828592,1704,0.001760563
31,-76.69310392,509,0
31,-75.62792192,326,0
31,-74.56273993,489,0
31,-73.49755793,340,0.002941177
31,-72.43237593,105,0
31,-71.36719393,43,0
31,-70.30201193,12,0
31,-69.23682993,9,0
31,-66.04128393,5,0.2
31,-61.78055594,1,0
32,-142.2984725,2,0
32,-141.2285592,1,0
32,-140.1586459,38,0
32,-139.0887326,12,0
32,-138.0188192,143,0
32,-136.9489059,182,0.005494506
32,-135.8789926,452,0
32,-134.8090792,648,0
32,-133.7391659,480,0
32,-132.6692526,163,0
32,-131.5993393,900,0
32,-130.5294259,791,0
32,-129.4595126,2048,0.000488281
32,-128.3895993,3280,0.00152439
32,-127.319686,4638,0.001078051
32,-126.2497726,3868,0.000258532
32,-125.1798593,5250,0.00152381
32,-124.109946,5044,0
32,-123.0400326,1305,0.001532567
32,-121.9701193,968,0.001033058
32,-120.900206,976,0.00102459
32,-119.8302927,4159,0.003125751
32,-118.7603793,5957,0.001007218
32,-117.690466,24733,0.000566045
32,-116.6205527,17346,0.003516661
32,-115.5506394,1,0
32,-113.4108127,6,0.166666667
32,-112.3408994,11,0.090909091
32,-94.1523728,110,0.118181818
32,-93.08245948,3780,0.002116402
32,-92.01254615,3382,0.004139562
32,-90.94263282,50739,0.003291354
32,-88.80280617,181,0.005524862
32,-87.73289284,14246,0.002807806
32,-82.3833262,1,0
32,-81.31341288,65225,0.002376389
32,-80.24349955,65528,0.000824075
32,-79.17358622,17150,0.000466472
32,-78.10367289,4447,0.000224871
32,-77.03375957,2462,0
32,-75.96384624,2090,0
32,-74.89393291,1153,0
32,-73.82401959,416,0.002403846
32,-72.75410626,382,0.002617801
32,-71.68419293,136,0.014705882
32,-70.6142796,56,0
32,-69.54436628,21,0
32,-68.47445295,14,0
33,-141.8817241,3,0
33,-140.8068625,5,0.2
33,-139.732001,2,0
33,-138.6571394,55,0.018181818
33,-137.5822779,236,0.008474576
33,-136.5074163,515,0
33,-135.4325548,421,0.002375297
33,-134.3576932,968,0.001033058
33,-133.2828317,1316,0.000759878
33,-132.2079701,1244,0.000803859
33,-131.1331086,1185,0
33,-130.058247,940,0
33,-128.9833855,1147,0.003487358
33,-127.908524,3749,0.004001067
33,-126.8336624,5210,0.00134357
33,-125.7588009,3525,0.002269504
33,-124.6839393,2698,0.002594515
33,-123.6090778,1652,0.001210654
33,-122.5342162,1718,0.001164144
33,-121.4593547,2626,0.001142422
33,-120.3844931,5807,0.000516618
33,-119.3096316,14035,0.002422515
33,-118.23477,93279,0.004491901
33,-117.1599085,72256,0.008926594
33,-113.9353239,20,0
33,-112.8604623,24,0
33,-92.43809294,672,0.001488095
33,-91.3632314,2739,0.015334064
33,-88.13864676,36176,0.001437417
33,-87.06378521,2068,0.003868472
33,-80.61461594,10242,0.001562195
33,-79.53975439,121162,0.00239349
33,-78.46489285,28902,0.000242198
33,-77.3900313,12206,0.000245781
33,-76.31516976,4639,0.000431127
33,-75.24030821,1248,0.000801282
33,-74.16544666,930,0.001075269
33,-73.09058512,205,0
33,-72.01572357,238,0.008403361
33,-70.94086203,90,0
33,-69.86600048,37,0
33,-68.79113893,5,0
34,-142.5645621,7,0
34,-141.4845276,51,0.019607843
34,-140.404493,26,0.038461539
34,-139.3244585,98,0.010204082
34,-138.2444239,297,0.003367003
34,-137.1643893,370,0.002702703
34,-136.0843548,600,0
34,-135.0043202,775,0
34,-133.9242856,974,0
34,-132.8442511,1286,0.000777605
34,-131.7642165,1350,0
34,-130.684182,1814,0
34,-129.6041474,2536,0.000788644
34,-128.5241128,2141,0.000934143
34,-127.4440783,4836,0.003101737
34,-126.3640437,5699,0.000877347
34,-125.2840092,5790,0.000345423
34,-124.2039746,3831,0.001827199
34,-123.12394,4361,0
34,-122.0439055,7623,0.000262364
34,-120.9638709,25066,0.000797894
34,-119.8838363,69549,0.005334369
34,-118.8038018,107782,0.00861925
34,-117.7237672,85160,0.012141851
34,-115.5636981,1,1
34,-91.80293774,12766,0.004386652
34,-90.72290318,65093,0.004654878
34,-88.56283406,20272,0.001430545
34,-87.48279949,7,0
34,-86.40276493,3447,0.007252684
34,-78.842523,25806,0.001588778
34,-77.76248844,74337,0.00137213
34,-76.68245388,29208,0.000308135
34,-75.60241932,9789,0.000408622
34,-74.52238475,883,0.002265006
34,-73.44235019,162,0.00617284
34,-72.36231563,16,0
34,-71.28228107,2,0
35,-142.1927501,41,0
35,-141.1073093,20,0
35,-140.0218684,60,0
35,-138.9364276,197,0.025380711
35,-137.8509867,542,0.001845019
35,-136.7655459,692,0.001445087
35,-135.6801051,938,0.002132196
35,-134.5946642,1046,0.001912046
35,-133.5092234,1523,0
35,-132.4237825,1663,0
35,-131.3383417,1950,0
35,-130.2529009,2457,0
35,-129.16746,2732,0.000366032
35,-128.0820192,4158,0.0002405
35,-126.9965783,4201,0.000476077
35,-125.9111375,4970,0.000201207
35,-124.8256967,2025,0
35,-123.7402558,2496,0.000400641
35,-122.654815,7206,0.001804052
35,-121.5693741,19501,0.000512794
35,-120.4839333,6591,0.002124109
35,-118.3130516,14,0.214285714
35,-116.1421699,6,0.333333333
35,-95.51879396,961,0
35,-94.43335312,8325,0.000840841
35,-93.34791228,9016,0.000776398
35,-92.26247144,13798,0.004565879
35,-91.1770306,199,0
35,-90.09158976,111807,0.009918878
35,-89.00614892,301,0.003322259
35,-87.92070808,20244,0.002716854
35,-86.83526724,5922,0.003714961
35,-85.7498264,3888,0.00308642
35,-84.66438556,65,0
35,-81.40806304,1,0
35,-80.3226222,1,0
35,-78.15174051,1,0
35,-77.06629967,71396,0.001988907
35,-75.98085883,62329,0.0006578
35,-74.89541799,28651,0.000209417
35,-73.80997715,529,0
35,-72.72453631,1,0
35,-71.63909547,4,0.25
36,-144.0238076,8,0
36,-142.9327181,5,0
36,-141.8416287,3,0
36,-140.7505392,17,0
36,-139.6594498,30,0
36,-138.5683603,23,0
36,-137.4772708,79,0
36,-136.3861814,380,0
36,-135.2950919,1059,0
36,-134.2040025,1336,0.000748503
36,-133.112913,1916,0
36,-132.0218236,1832,0.000545852
36,-130.9307341,2046,0
36,-129.8396447,1979,0.000505306
36,-128.7485552,2554,0
36,-127.6574658,3512,0
36,-126.5663763,3638,0
36,-125.4752869,1881,0
36,-124.3841974,1972,0.003549696
36,-123.293108,11956,0.00092004
36,-122.2020185,19516,0.00035868
36,-121.1109291,2894,0
36,-120.0198396,1,1
36,-117.8376607,1,1
36,-96.0158717,4397,0.003411417
36,-94.92478225,5557,0.001439626
36,-90.56042445,236,0
36,-89.469335,95787,0.00184785
36,-88.37824555,567,0.005291005
36,-87.28715609,10170,0.00245821
36,-86.19606664,5610,0.005525847
36,-85.10497719,465,0
36,-84.01388774,530,0.022641509
36,-77.46735103,8,0
36,-76.37626158,26861,0.001116861
36,-75.28517213,58710,0.00100494
36,-74.19408268,11566,0.000778143
36,-73.10299323,254,0.003937008
37,-144.8026952,11,0
37,-142.608715,33,0
37,-141.5117248,64,0.015625
37,-140.4147347,6,0
37,-139.3177446,93,0.010752688
37,-138.2207545,188,0
37,-137.1237644,369,0
37,-136.0267743,360,0.002777778
37,-134.9297841,863,0
37,-133.832794,694,0
37,-132.7358039,896,0
37,-131.6388138,2665,0.003377111
37,-130.5418237,2050,0.00097561
37,-129.4448336,2326,0
37,-128.3478435,2342,0
37,-127.2508533,2043,0
37,-126.1538632,1964,0.000509165
37,-125.0568731,5098,0.000784621
37,-123.959883,12210,0.001228501
37,-122.8628929,28777,0.001980749
37,-121.7659028,7899,0.006836308
37,-117.3779423,1,0
37,-89.95318943,3933,0.005339436
37,-88.85619932,172788,0.003779198
37,-87.7592092,28426,0.004608457
37,-77.88629817,191,0.005235602
37,-76.78930805,85561,0.003599771
37,-75.69231794,118159,0.00085478
37,-74.59532782,27850,0.000359066
37,-73.49833771,5199,0.000961723
37,-72.40134759,211,0.023696683
38,-141.2036173,38,0.02631579
38,-140.100464,129,0.007751938
38,-138.9973108,156,0
38,-137.8941575,164,0
38,-136.7910043,103,0
38,-135.687851,220,0.009090909
38,-134.5846977,495,0.002020202
38,-133.4815445,1523,0.001313198
38,-132.3783912,1724,0.001740139
38,-131.275238,1319,0
38,-130.1720847,1800,0
38,-129.0689314,2303,0
38,-127.9657782,4039,0
38,-126.8626249,2525,0.00039604
38,-125.7594717,2073,0.000482393
38,-124.6563184,7205,0.00055517
38,-123.5531651,19271,0.000778372
38,-122.4500119,159673,0.009719865
38,-121.3468586,13267,0.014622748
38,-90.45856733,62981,0.003048538
38,-89.35541407,17109,0.003857619
38,-88.25226081,13599,0.001764836
38,-87.14910755,50598,0.002490217
38,-86.04595429,50635,0.02132912
38,-84.94280103,1542,0
38,-82.73649451,26213,0.002098196
38,-81.63334125,5310,0.008097928
38,-77.22072821,6648,0.001504212
38,-76.11757495,57246,0.001100514
38,-75.01442169,23856,0.000670691
38,-73.91126843,11702,0.000512733
38,-72.80811517,935,0
38,-71.70496191,45,0
38,-70.60180865,13,0
39,-138.6987603,53,0
39,-137.5891702,47,0
39,-136.4795801,197,0.010152284
39,-135.36999,583,0
39,-134.2603999,819,0.001221001
39,-133.1508099,894,0.002237137
39,-132.0412198,537,0
39,-130.9316297,1077,0
39,-129.8220396,1805,0
39,-128.7124495,3828,0.001044932
39,-127.6028595,996,0.001004016
39,-126.4932694,979,0
39,-125.3836793,5251,0.00019044
39,-124.2740892,9236,0
39,-123.1644991,322,0
39,-122.054909,576,0.006944444
39,-90.98638674,21980,0.003275705
39,-89.87679666,89202,0.007387727
39,-85.43843633,19898,0.007236908
39,-84.32884625,60094,0.002263121
39,-83.21925616,20592,0.00267094
39,-82.10966608,67731,0.000915386
39,-81.000076,16414,0.001218472
39,-77.67130575,659,0.003034901
39,-76.56171567,60611,0.002474798
39,-75.45212559,44356,0.001397782
39,-74.34253551,52402,0.001164078
39,-73.23294542,23439,0.000853279
39,-72.12335534,1081,0.001850139
39,-71.01376526,81,0
39,-69.90417518,23,0.086956522
39,-68.7945851,5,0
40,-138.4227638,2,0
40,-137.3064512,102,0
40,-136.1901386,134,0
40,-135.073826,300,0
40,-133.9575134,341,0.005865103
40,-132.8412007,206,0
40,-131.7248881,1090,0
40,-130.6085755,950,0
40,-129.4922629,2633,0
40,-128.3759503,1379,0
40,-127.2596377,1368,0
40,-126.1433251,2827,0
40,-125.0270125,8988,0
40,-123.9106999,1707,0.001171646
40,-122.7943872,1,1
40,-91.53763413,25595,0.004649346
40,-90.42132152,1303,0.048349962
40,-81.49082063,1245,0
40,-80.37450801,85275,0.009709763
40,-75.90925757,32830,0.001827597
40,-74.79294496,32643,0.002665196
40,-73.67663235,105317,0.001443262
40,-72.56031973,14255,0.000561207
40,-71.44400712,3247,0.000615953
40,-70.32769451,2518,0.002382844
40,-69.2113819,2274,0.001759015
40,-68.09506929,101,0
40,-66.97875668,3,0
41,-131.4300531,324,0.00308642
41,-130.3067193,1102,0.000907441
41,-129.1833855,3609,0
41,-128.0600517,563,0
41,-126.9367179,560,0
41,-125.8133842,4826,0
41,-124.6900504,28320,0.009781073
41,-123.5667166,429,0.032634033
41,-90.99003676,23634,0.003469578
41,-89.86670297,18501,0.005513216
41,-88.74336918,43127,0.003408538
41,-87.6200354,6465,0.00804331
41,-83.12670025,493,0.012170385
41,-82.00336646,2308,0.046360485
41,-80.88003267,12752,0.03379862
41,-79.75669889,14113,0.016084461
41,-74.14002995,284895,0.001986697
41,-73.01669616,45610,0.001315501
41,-71.89336238,69132,0.001027021
41,-70.77002859,39530,0.000556539
41,-69.6466948,31438,0.000508938
41,-68.52336102,2155,0.001856149
41,-67.40002723,133,0
42,-132.2881024,74,0
42,-131.1574349,921,0.002171553
42,-130.0267673,1686,0
42,-128.8960998,2225,0
42,-127.7654323,199,0
42,-126.6347647,1403,0.000712758
42,-125.5040972,7304,0
42,-124.3734296,23006,0.013735547
42,-117.5894244,38,0.078947368
42,-90.45340337,13417,0.005962585
42,-88.19206829,39309,0.007937114
42,-87.06140075,28069,0.00619901
42,-85.9307332,330,0.024242424
42,-83.66939812,24746,0.002667098
42,-82.53873058,46835,0.002220562
42,-81.40806304,23130,0.001297017
42,-80.27739549,15976,0.000876315
42,-79.14672795,143,0
42,-73.49339024,14823,0.001349255
42,-72.3627227,10,0
42,-71.23205516,57426,0.003465329
42,-70.10138761,25368,0.001852728
42,-68.97072007,1580,0.000632911
42,-67.84005253,87,0.011494253
42,-66.70938499,1,0
43,-132.0461518,199,0.005025126
43,-130.9078229,263,0
43,-129.769494,2525,0.001584158
43,-128.6311651,321,0.00623053
43,-127.4928362,113,0
43,-126.3545073,3581,0.000558503
43,-125.2161784,7657,0
43,-124.0778496,7198,0.005973882
43,-118.3862051,16,0.0625
43,-91.0663116,1043,0.008628955
43,-87.65132491,15403,0.00240213
43,-86.51299602,6324,0.004743833
43,-83.09800933,8771,0.001710181
43,-81.95968044,28447,0.001617042
43,-80.82135154,857,0.009334889
43,-79.68302265,48581,0.004837282
43,-78.54469375,10908,0.001191786
43,-77.40636486,980,0
43,-76.26803596,178,0.005617978
43,-73.99137817,1357,0.005895357
43,-70.57639149,16549,0.002779624
43,-69.43806259,8496,0.000235405
43,-68.2997337,977,0.002047083
43,-67.1614048,572,0.001748252
43,-66.02307591,36,0
43,-64.88474701,1,0
44,-131.8284163,163,0
44,-130.6820822,867,0.002306805
44,-129.5357482,1745,0.000573066
44,-128.3894141,921,0.001085776
44,-127.2430801,615,0.001626016
44,-126.096746,4313,0.000231857
44,-124.950412,13539,0.000738607
44,-123.8040779,36071,0.000554462
44,-120.3650757,18,0.222222222
44,-119.2187417,2,0.5
44,-91.70672438,168,0.065476191
44,-88.26772222,588,0.00170068
44,-87.12138816,15814,0.000632351
44,-85.97505411,1276,0.000783699
44,-83.682386,3348,0.001194743
44,-82.53605194,28821,3.47E-05
44,-81.38971789,1131,0.008841733
44,-79.09704978,5035,0.001986097
44,-77.95071572,14560,0.000137363
44,-76.80438167,24646,0.002069301
44,-75.65804761,3201,0.005623243
44,-69.92637734,17099,0.003392011
44,-68.78004329,27059,0.002771721
44,-67.63370923,4077,0.000490557
44,-66.48737518,442,0.002262443
45,-131.6358614,19,0.105263158
45,-130.4811608,291,0.003436426
45,-129.3264603,582,0.001718213
45,-128.1717598,637,0
45,-127.0170592,1115,0.000896861
45,-125.8623587,2917,0.001028454
45,-124.7076581,5572,0.000717875
45,-123.5529576,6402,0.004842237
45,-122.3982571,1411,0.002834869
45,-120.088856,42,0.119047619
45,-118.9341555,1,1
45,-93.53074361,85,0.023529412
45,-87.75724092,5819,0.003608868
45,-86.60254038,14965,0.000200468
45,-85.44783984,4755,0.003995794
45,-84.2931393,943,0.025450689
45,-83.13843876,31469,0.000381328
45,-81.98373822,175,0
45,-76.21023553,85,0.023529412
45,-75.05553499,2,0.5
45,-69.2820323,18,0
45,-66.97263123,262,0.026717557
45,-65.81793069,191,0.005235602
46,-131.4695452,9,0
46,-130.3060979,138,0
46,-129.1426506,886,0.001128668
46,-127.9792033,1226,0.004078303
46,-126.815756,3665,0.001909959
46,-125.6523087,13410,0.000745712
46,-124.4888614,106141,0.00191255
46,-123.3254141,86786,0.010750582
46,-122.1619668,24846,0.015495452
46,-120.9985195,4111,0.003648747
46,-119.8350722,1947,0.006676939
46,-118.6716249,5093,0.000392696
46,-87.25854769,26,0
46,-86.09510038,9145,0.001530891
46,-84.93165308,23054,0.001474798
46,-83.76820578,41412,0.021732831
46,-82.60475848,874,0.005720824
47,-132.5032228,4,0
47,-131.3306279,153,0
47,-130.158033,240,0.008333333
47,-128.9854381,109,0.009174312
47,-127.8128432,453,0.011037528
47,-126.6402484,703,0.004267425
47,-125.4676535,5214,0.001534331
47,-124.2950586,7207,0.002358818
47,-123.1224637,16817,0.017363382
47,-121.9498688,35219,0.011527869
47,-120.7772739,1,0
47,-118.4320841,764,0.002617801
47,-117.2594892,463,0.010799136
47,-92.63499648,2419,0.035138487
47,-91.46240159,9557,0.003976143
47,-90.2898067,7402,0.005268846
47,-89.11721181,4367,0.00022899
47,-87.94461691,5788,0.005874223
47,-86.77202202,12637,0
47,-85.59942713,17223,0.000174186
47,-84.42683224,14706,0.011559908
48,-132.4025482,7,0
48,-131.2203826,49,0
48,-128.8560514,53,0.018867925
48,-127.6738858,392,0.010204082
48,-126.4917202,10286,0.001847171
48,-125.3095546,41151,0.000291609
48,-124.127389,42435,0.000989749
48,-122.9452234,199187,0.008584898
48,-121.7630578,31308,0.04002172
48,-120.5808922,4,1
48,-119.3987265,1,1
48,-118.2165609,1,1
48,-91.02675192,1234,0
48,-89.84458631,4085,0
48,-88.6624207,12798,0.002109705
48,-87.48025509,9946,0.000201086
48,-86.29808948,1166,0.000857633
49,-128.75584,23,0
49,-127.5636563,373,0.010723861
49,-126.3714726,12914,0.002555366
49,-125.1792889,17825,0.002187938
49,-123.9871052,118031,0.003753251
49,-122.7949215,290326,0.008934784
49,-121.6027378,530,0.026415094
49,-88.22159406,323,0.009287926
49,-87.02941035,26,0.038461539
50,-129.8889636,1,2
50,-128.686288,7,0
50,-127.4836124,4,0
50,-125.0782612,2657,0.012796387
50,-123.8755856,10010,0.004095904
50,-122.67291,672,0.008928571
50,-121.4702344,2,0
50,-67.34983296,171,0
51,-126.2216895,7,0
51,-125.0080194,13,0.153846154
51,-67.9655251,128,0
51,-66.75185501,708,0
51,-65.53818492,36,0
52,-66.16073157,309,0
52,-64.93553284,533,0
